CustomerID,Churn,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,DirectorAssistedCalls,OverageMinutes,RoamingCalls,PercChangeMinutes,PercChangeRevenues,DroppedCalls,BlockedCalls,UnansweredCalls,CustomerCareCalls,ThreewayCalls,ReceivedCalls,OutboundCalls,InboundCalls,PeakCallsInOut,OffPeakCallsInOut,DroppedBlockedCalls,CallForwardingCalls,CallWaitingCalls,MonthsInService,UniqueSubs,ActiveSubs,ServiceArea,Handsets,HandsetModels,CurrentEquipmentDays,AgeHH1,AgeHH2,ChildrenInHH,HandsetRefurbished,HandsetWebCapable,TruckOwner,RVOwner,Homeownership,BuysViaMailOrder,RespondsToMailOffers,OptOutMailings,NonUSTravel,OwnsComputer,HasCreditCard,RetentionCalls,RetentionOffersAccepted,NewCellphoneUser,NotNewCellphoneUser,ReferralsMadeBySubscriber,IncomeGroup,OwnsMotorcycle,AdjustmentsToCreditRating,HandsetPrice,MadeCallToRetentionTeam,CreditRating,PrizmCode,Occupation,MaritalStatus,TFI,Churn_Probability
3010714,1,59.83,1038.0,35.0,0.25,97.0,0.0,316.0,32.0,3.0,11.7,129.0,10.3,0.0,412.6,57.7,11.7,261.3,281.7,14.7,0.0,7.7,37,1,1,LOULEX606,6.0,4.0,655.0,48.0,0.0,No,No,Yes,No,No,Known,No,No,No,No,No,No,0,0,Yes,No,0,6,No,0,30,No,4-Medium,Town,Other,No,2.9337107229596895,0.30649012
3385330,0,52.89,887.0,60.0,0.0,7.0,0.0,-93.0,-2.9,7.3,0.7,41.3,6.7,2.7,180.6,44.7,4.7,107.0,71.7,8.0,0.0,4.7,8,1,1,AIRAUG706,1.0,1.0,216.0,42.0,0.0,No,No,Yes,No,No,Known,No,No,No,No,Yes,Yes,0,0,No,No,0,6,No,0,Unknown,No,3-Good,Town,Other,Unknown,2.594573149369232,0.2938103
3236250,1,50.48,1073.0,60.0,0.5,0.0,0.0,-97.0,0.5,8.3,4.0,58.0,11.0,0.0,186.4,47.0,17.7,168.0,187.0,12.3,0.0,2.3,13,2,1,FLNTAL850,1.0,1.0,387.0,52.0,48.0,Yes,No,Yes,Yes,Yes,Known,Yes,Yes,No,Yes,Yes,Yes,0,0,No,No,0,8,No,0,Unknown,No,4-Medium,Other,Professional,Yes,3.39816827631931,0.2803278
3264818,0,32.61,206.0,40.0,0.99,0.0,1.6,139.0,1.5,3.0,0.0,6.7,0.0,0.3,60.2,12.3,3.0,24.0,27.0,3.0,0.0,0.0,13,1,1,APCWAS202,1.0,1.0,393.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,0,0,No,0,Unknown,No,2-High,Other,Other,Unknown,1.2952360662425344,0.25304544
3396794,1,34.0,116.0,45.0,0.25,0.0,0.0,-116.0,-34.0,0.0,0.0,1.3,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,31,2,2,LAXCDG310,2.0,2.0,854.0,26.0,0.0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,3,No,0,10,No,3-Good,Other,Other,No,0.0,0.2773669
3100858,0,50.38,483.0,35.0,0.0,53.0,0.0,-110.0,-15.4,3.7,0.3,27.0,4.3,0.7,137.4,26.3,8.3,60.0,64.3,4.0,0.0,0.7,20,1,1,PHIWIL302,2.0,2.0,242.0,40.0,46.0,No,No,Yes,No,No,Known,No,No,No,No,No,No,0,0,No,Yes,0,1,No,0,10,No,4-Medium,Other,Other,Yes,1.4339266617251536,0.31316197
3127798,0,50.25,534.0,50.0,1.49,42.0,0.0,-128.0,-7.9,2.3,1.0,26.0,0.0,0.0,98.2,34.7,6.0,105.0,67.0,3.3,0.0,1.3,21,1,1,HOUHOU281,1.0,1.0,628.0,24.0,24.0,No,No,Yes,Yes,Yes,Known,No,No,No,No,No,Yes,0,0,No,Yes,0,6,No,0,Unknown,No,2-High,Other,Other,No,1.0262293403770506,0.28876022
3125694,0,30.41,268.0,30.0,0.25,0.0,0.2,-3.0,0.6,2.0,1.3,21.0,4.0,0.3,49.8,17.3,8.3,80.3,13.0,3.3,0.0,0.7,23,2,2,APCFCH703,2.0,2.0,70.0,0.0,0.0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,6,No,0,130,No,4-Medium,Other,Other,No,1.0905737115020957,0.23795903
3011538,0,31.86,214.0,30.0,1.49,0.0,0.0,-71.0,0.5,6.3,0.0,13.0,0.0,1.0,33.7,14.7,0.0,69.3,44.7,6.3,0.0,0.0,41,1,1,SEAEVE425,7.0,3.0,605.0,54.0,0.0,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,4,No,0,30,No,3-Good,Suburban,Clerical,No,2.700802049019437,0.2854984
3018378,0,33.18,34.0,17.0,0.0,4.0,0.0,-6.0,23.8,0.0,0.3,2.3,0.0,0.0,4.1,5.3,1.3,11.7,5.0,0.3,0.0,0.0,33,2,2,NYCBRO917,2.0,2.0,43.0,28.0,30.0,No,No,Yes,Yes,Yes,Known,No,No,No,No,No,Yes,0,0,No,No,0,8,No,0,30,No,1-Highest,Suburban,Other,Yes,0.09706808336135517,0.30251145
